id,text,labels
315,The ocean takes the beach. #globalwarming #risingwaters  #thisisreallyhappening  #wakeup #earth #ocean #environment #saveourplanet #waterworld,1
316,Fuck you Black Friday ğŸŒµ #picstitch #retaillife #blackfriday #trashed #hustle #work,0
317,Hardstyle Is My Religion Radioshow Episode #24 @ Clubberry Hard download - www.promodj.com/dazzle4ever #hardstyle #clubberry #HSIMR #promo #dj,0
318,twitpicfbapp:photo,1
319,I&#39;m getting the itch to #travel !!!,1
320,Lmfao #Romney #republican #Obama,1
321,feels good to be back at church. #church #religion #God,1
322,Trust HIM #faith #trust #patience #motivation #christian #religion #inspiration,0
323,This is my passport photo. The guy taking it asked if he should go ahead and put bars on it for the police.,0
324,Jaden! #BlackFriday #Cutays @jadennbarnes âœŒ,1
325,What an amazing long weekend it has been...from #Thanksgiving to #BlackFriday then #Friendsgiving and finally #SundayFunday @cgzein @typhara @bellastassi @rainbowsprinkles80 @dashira03 @mads76123 @ralphiefbaby @haymrd very thankful for it all!,1
326,empty,1
327,twitpicfbapp:photo,1
328,empty,1
329,Love... #sandiego #california #nyc #ny #newyork #la #losangeles #usa #sacramento #awesome #niceshot #nicephoto #photooftheday #picoftheday #best #luxury #like #relax #real #yummy #girls #everything #good #sanfrancisco #instagram #instamood #instadaily #love #police #blonde,0
330,#Sun #Sunset #Cloud #Weather #sky #today #Cairo #Egypt,1
331,Hahaha #fuckthis #religion #religious #church #metal #music #dreads #funny,0
332,twitpicfbapp:photo,1
333,My december #december #justsay #words #time #decemberwish,1
334,twitpicfbapp:photo,0
335,Mummy at The Cancer Gala Aid event tonight ğŸ€ğŸ’—ğŸ‘›,1
336,I win! #gay #gayboy #gayboys #gayguys #gaylove #gayrights #gaymarriage #love #lgbt #kissgay #boyloveboy #freedom #freelove,1
337,twitpicfbapp:photo,1
338,Seasons greetings from the Obama family ğŸ‡ºğŸ‡¸,1
339,Too comfy #PickUps #BlackFriday #NFL #LatePost,1
340,"Wake up, drank. ğŸº",1
341,"&#34;Ya se me pararon las orejitas, miren! &#34; #obbie #obama #dog #doglover #puppy #nofilter #iphonesia #photonesia #mommysboy #inlove #negrito ğŸ’—",1
342,#decemberwish &lt;3,1
343,twitpicfbapp:photo,1
344,twitpicfbapp:photo,1
345,100 mutha-f*ckers can&#39;t tell me nothing... #iBeezInTheTrap #NewYork #ThanksgivingWeekend #Trina #Dana,1
346,Kings of Europe #championsleague #munich #munchen #chelseafc #drogba #cech #ramires #lampard #robben #penalties #allianzarena #germany #awaydays #muller #crossbar #torres #luiz #party #celebrations #RomanAbramovich #theircity #theirstadium #ourcup #championsofeurope #terry,1
347,twitpicfbapp:photo,0
348,Sandy baby shower cake,1
349,Old agt pic #memories,1
350,70 degrees in November! #globalwarming #biking #cycling #outdoors #avl #ashvegas #asheville #westernnc #trail #mtnbike @joshwillworship,1
351,HIV/AIDS Awareness event this FRIDAY in Cincinnati. Hosted by (finer than Jesus goatee) Lamon Rucker. This is for a cause near and dear to my heart. Free testing will be available. KNOW YOUR STATUS!!!,1
352,#instagood #tweegram #me #police #photooftheday #instamood #instagramhub #bestoftheday #instagramers,1
353,19-05-12 #ChampionsOfEurope #CFC  #Munich #Champions #ChampionsLeague #Final #Legends,1
354,"#MyHouse , #championsleague",1
355,twitpicfbapp:photo,1
356,Notice the sandy beach added in front of Legend of Captain Jack Sparrow,1
357,"This is our very diverse farm. We use police cars, breed giraffes and even hire our staff from space",1
358,twitpicfbapp:photo,1
359,"Street art in Chapel Hill, at the former Obama campaign center.",0
360,empty,0
361,The GOD sent w/ @AhmedComedy,1
362,#Haha #Titanic #globalwarming #Rose?,1
363,Street art in Chinatown or in little Italy idk #newyork #streetart #downtown #nyc,0
364,Holding his bottle alreadyğŸ‘â¤ #king #cairo,1
365,#Religion,0
366,#Tahrir #Cairo #Egypt #teargas #ultras #revolution,0
367,twitpicfbapp:photo,1
368,Gordura a MIL!! Hoy cn mi family celebrando qmi mami.cumple 2aÃ±os d haber ganado la batalla al Cancer #family #rolls #food #dulce #choco #canela,1
369,#Xmas lights are up; will most likely add some more. #LoveTheHolidays,1
370,I love me some LES #newyork,1
371,twitpicfbapp:photo,0
372,twitpicfbapp:photo,1
373,What&#39;s there to do tonight? | Created with the Free @Versagram App!  #vbf1 #blackfriday #shopping #leftovers #text #versagram #versaloveâ™¥,1
374,#uticany #firstsnow #babyphat #tommyhilfiger #newyork,1
375,Breakfast @ Valois (texting Obama),1
376,Me &amp; @bailey_michael gingerbread houses #hurricanesandy,1
377,twitpicfbapp:photo,1
378,My wave religion #WaveReligion,0
379,"71 pounds lighter, he needs to start eating.. Cancer is a dirty fucking disease. #picstitch",1
380,twitpicfbapp:photo,1
381,Merecedores... #chelseafc #championsleague @chelseafcofficial,1
382,#championsleague,1
383,twitpicfbapp:photo,1
384,"So yea, I met him a couple of weeks ago @atamerica. We were celebrating his election-winning thing. Nice guy. Lol",1
385,Work in progress: President @BarackObama. #art #sketch #drawing #graphic #portrait #obama #president #derwent ğŸ¨ğŸ‘,1
386,Que porra Ã© isso agt dormindo  @miltonterceiro @pedrohcabralv @lucasverasmc,0
387,My success! #sohappy #nikon #camera #columbia #jacket #wafflestickmaker #yum #blackfriday #shopping #black #boots #grey #boot #bra #goodtime #sales,1
388,I just voted in my first run-off election for Mayor of North Little Rock.,1
389,It&#39;s gonna be a rough night for one of us... #gbpackers #nygiants #nfl #sundaynightfootball,1
390,Something rather obvious that people don&#39;t seem to remember. #heraldtribune #globalwarming #environment,1
391,#longbeach #hurricanesandy #thatsalotofsand #reliefweneedit #staypositive,0
392,"my angel, @bellathornelovesyou is so close to 2M on twitter! || my #DecemberWish .....",1
393,Brings a tear to my eye ğŸ˜­ #arsenal #afc #championsleague,1
394,I&#39;ve voted in three different provinces in every election I can and it&#39;s still exciting.,1
395,ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ #Dying #2K #HurricaneSandy,0
396,Good times #newyork #love @hend_aljabawi,1
397,Best present ever!!! Original newsprint version of NYT from day after Obama&#39;s re-election from a Manhattan newsstand. Thanks @JordanaOZ,1
398,Central Park Night #newyork,1
399,LMFAO ! ğŸ˜‚ğŸ˜‚ğŸ˜‚ #titanic #jack #globalwarming,1
400,#nationalguard #army #trucks #hurricanesandy #help #farrockaway #newyork #vehicles #america #usa,1
401,#cinnabon #cairo #egypt,1
402,"Oh hi. My name&#39;s Leo, nice to meet you. #life, #whoami, #globalwarming",1
403,twitpicfbapp:photo,1
404,"The #NFL has Tom Brady, the #CFL has Ricky Ray. Toronto&#39;s QB is bald and has a greasy mustache. #GreyCup #Argos",1
405,Crowd Shot....#ClubTryst #BlackFriday Check Out DaFix.net for more flicks,1
406,@martunaa Just chillen during hurricane sandy #wine #tuna #hurricanesandy #slime #ğŸ¸,1
407,"Hace 7 aÃ±os un cancer nos quito a este gran piloto, campeÃ³n del mundo. #RichardBurns",1
408,This is raw. #soccer #championsleague #bvb,1
409,Only at #Walmart ! #BlackFriday #Funny #Lol,0
410,twitpicfbapp:photo,1
411,ĞŸĞ°Ñ†Ğ°Ğ½Ğ¾Ğ² Ğ¿Ñ€Ğ¸Ğ½ÑĞ»Ğ¸ Ğ·Ğ° &#34;Ğ’Ğ¾Ğ»Ğ¾Ğ´Ğ°Ñ€ÑĞºĞ¸Ğ¹ Ğ¼Ğ¾ÑÑ‚&#34;  #realtrapshit #swag #trap #swaggamusic #police,1
412,Miami Gardens Finest.... And I ain&#39;t talking bout me.,1
413,In Philadelphia ordering pizza! Yum! âœŒ#Jake&#39;spizza #philadelphia #2012 #food #pizza #menu #hurricanesandy,1
414,Brooklyn Bridge #newyork,1
415,Christmas Cards for #hurricanesandy victims at the Atlantic City Rescue Mission #southjersey #restoretheshore #sandyrelief #sandyrecovery #merrychristmas #helpthehomeless #december,1
416,We was hella close #BlackFriday,1
417,#abortion #prolife,0
418,Now we all know he on ya mind so stop n #follow the #buzzin Mr.True Religion  #swaggerific #unmatched #AlienFlee @h2odz170,0
419,City for the day ğŸŒƒ#blackfriday,1
420,Another spice boy to add to our collection #spiceboy #obama @_abbbbbie @__lauraaaaaa,1
421,Day 25 of Movember. Lets help kiss prostate cancer in the ass!,0
422,#nyc #sandy #hurricanesandy,0
423,twitpicfbapp:photo,1
424,#blackFriday Vegas @_key2alexus @pebblez4 ğŸ˜,1
425,#blackfriday purchase? Nahhhh!,1
426,True stuff. I have mad respect for all the ladies that DO NOT give in to abortion.,1
427,Construction of Moscow.... Looks like buildings of Nasser&#39;s era #Moscow #Cairo #Nasser,1
428,There is only a few #WOMEN in this world who can be my #LEADER &amp; LEAD ME.... I MUST SAY... MRS. OBAMA... IS AN AMAZING PERSON.... SHE WORKED HARD FOR EVERYTHING SHE HAS...&amp; SHE EARNED IT ALL... THATS WHAT I CALL #SELFMADE !!! MY FOCUS &amp; MY DREAMS....ARE BEYOND BEING A PRETTY GIRL OR AN #Badbitch .... IM A WOMAN OF SUBSTANCE = IM A REAL CHICK OF ESSENCE .... #RespectMyFresh #respect #BlackWomenRock #igaddict #Picstitch #instacollage #instamood #DREAMCHASERS #MMG #GOODMUSIC #JETLIFE #YMCMB #BMB #SLOWBUCKS #YOLO,1
429,Gingerbread competition gone wrong #hurricanesandy @stina_berge @KellyPickett15 @jessick_ah,1
430,empty,0
431,"LOL â™‹â¤ğŸ˜‰ğŸ˜˜ that&#39;s right, haha. It&#39;s okay babe, you&#39;re safe @resedacoco ğŸ˜„ #julybaby #cancer #summerbound #onlywaytodoit.",1
432,"Oh, heyyyy #Obama. | Samm&#39;s office of #diversity.",1
433,"The part under Obama as the Joker (what?) says &#34;Thank you, Satan.&#34; Not really sure what&#39;s going on here.",0
434,#blackfriday #nikefactorystore,1
435,twitpicfbapp:photo,1
436,Go 49ers #football #brazil #futebol #passion #nfl #brasil,1
437,Lets get creative and help #HurricaneSandy victims! Please R-T ;),1
438,#Bored #HairCut #NoMoreBeard #NakedFace #Vikings #NFL #Hi #Hello #Hola #ComoEstas,1
439,Love this saying,1
440,Mr. President! #obama,1
441,#india #religion #compassion #hinduism #peace #colors #jaipur,1
442,Just met Murray Sawchuck from America&#39;s Got Talent and Pawn Stars at Walgreens :) #agt #americasgottalent #magician #magic #murraysawchuck #celebrity #famous #happy #walgreens,1
443,Cairo â™¥,1
444,#cairo #righthererightnow thank you for sharing @ahmed_sadek,1
445,Coolin&#39; with Cairo at the cribo. When I first came back from thanksgiving for 4 days!,1
446,New puppy... The day I go back to school #hurricane #sandy #rescue #Shepard #mix #cutest #puppy #dog #bro #bitch #northshore #animal #nsala #fetch,1
447,twitpicfbapp:photo,0
448,#blackfriday #climbing #deals are still on #blackdiamond #petzl #lascarpa #evolv #metolius #http://t.co/yHUtMoNX,1
449,Love these girls ğŸ˜˜ @juliaesbjornson @rebeccatomsik @rissaaxox  #newyorchesis #newyork #girls #lovethem,1
450,#ocara #fernandotorres #torres #chelseafc #championsleague,1
451,Hoje uma gay fica granadina hahaha,1
452,"..BS &amp; Shorty140? Brooklyn, NYC:2012. #bs #ked #shorty140 #tcs #klame #graffiti #nyc #newyork #newyorkcity #brooklyn #emissions #heavyduty #neon",1
453,Beauty is a Religion,1
454,empty,1
455,#fall colors on #thanksgiving weekend in #seattle #instagram #htconex #android #photo #nature,1
456,Out and about in #egypt #cairo #pyramid #sphinx,1
457,You&#39;d be surprised how many of those people fit into that category &amp; still worship #mittromney! #annromney #tcot #Obama2012 #4moreyears #obamabiden2012,1
458,Hoodie &amp; snuggly slipper kinda day! #resting #pain #headache #longisland #newyork #sunday #lazyday,1
459,My Favorite NFL QB&#39;s.,1
460,There are houses down all along the coast from #hurricanesandy. People are cleaning up in the background.,0
461,"mi meet da police, mi meet da police",0
462,Guys who hold up the responsibility. ğŸ‘ Instead asking girls to go for abortion and fuck off.,1
463,LMBOOO #Throwbaaaaack!!!!! This when niggas was wearing band aids under their eyes cause Nelly did it!!! ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ LMBO,1
464,The cookie abortion my sister created. Omg I&#39;m crying #wtf #itsalive #yousuck #bakeroftheyear #lawlzonmydick,0
465,Shooting for online magazine in New York! #model #photography #photoshoot #sexy #cop #military #newyork #magazine #badass,1
466,Damn Hurricane Sandy! I&#39;ve been in this tree for 3 weeks.  Don&#39;t drink and bike kids. #EnterTheVoid,0
467,#sticker #microwave #ignorance #wakeup #globalwarming #streetart #earth,1
468,When I die bury me inside a lightning bolt ! #sandiego #charhers #boltman #bolts #sunday #football #NFL,1
469,Ø¹ÙŠØ´ ÙŠØ§Ø¹Ù… ğŸ˜Šâ¤ğŸš‰ğŸš ğŸš¡#Ø§Ù„Ù‚Ø§Ù‡Ø±Ø©  #Ù…ØµØ± #cairo,1
470,twitpicfbapp:photo,0
471,Stupid crazy love! #gay #gayboy #gayboys #gayrights #gayguys #gaymarriage #gaylove #freedom #freelove #kissgay #boyloveboy #equality,1
472,Shopping #newyork #designers,1
473,New York Style Cheese Cake. Always a winner with this guy!,1
474,Grilling some steaks it&#39;s NFL Sunday! Da Bears Won!!!,1
475,#shattered @nymediacares #hurricanesandy #reliefeffort #statenisland  #volunteer,0
476,Apparently he&#39;s calling the &#39;chocolate police&#39; wtf?!!,1
477,My homeless buddy Jeff with his Obama phone sleeps under bushes and is going dumpster diving for food.,1
478,Dumbest thing I&#39;ve ever saw.. Abortion = termination of pregnancy (egg+sperm) ... Blowjob = just sperm #prolife,0
479,#spiritual #faith #faithful #TagsForLikes #God #grace #pray #prayers #praying #amen #believe #religion #coexist #spirituality #trust #peace #calm #mind #soul #hope #destiny #wisdom #compassion #forgiveness #thankful #knowledge #meditation #life #meditate #guidance,1
480,I can tell election season is over because my home is not cluttered and I have time for hobbies.,1
481,They say that Scorpio and Cancer&#39;s should date Nathan&#39;s a Scorpio Jennette is a Cancer#jathan,1
482,Gutting someone&#39;s house today....really heartbreaking ....#hurricanesandy #damage,0
483,twitpicfbapp:photo,1
484,#obama #fly #fashion,1
485,Subway stories vol.1 @zlbg @frsharabianluv #subway #nyc #newyork,1
486,SÃ³ pra quem pode... @WesleySafadao &amp; @GarotaSafada! #app #android,1
487,- Talvez nao seje nessa vida ainda mas vc ainda vai ser a minha vida entao agt vai fugir pro mar e eu vou pedir pra namorar vc vai me dizer que vai pensar e no fim vai deixar (8),1
488,Raising money for Teenage Cancer Trust,1
489,Please get better:( my big man cuddle up with me I love you Henry:(hate cancer!:(,1
490,(taken by me) Global warming at it&#39;s finest.#Baltimore #GlobalWarming,0
491,Call airport police ..,0
492,Deliveries to make ! Snacks to eat! #pinkelly #oreos #hurricanesandy,1
493,Cheeee :)) ... oh hey there&#39;s Micky mouse! :P #NewYork #newyorkcity #NYC #TimeSquare #selfie #city #micky #mickymouse,1
494,My #BlackFriday #purchases made at 2am at the mall... #lol @sephora @freshfounder @lushvalleyfair @julepmaven,1
495,Repost!! Happy Election Day! VOTE,1
496,#CarmeloAnthony #7 #NewYork #Knicks,0
497,Rap And Religion book release party @ The Diplomat,1
498,twitpicfbapp:photo,1
499,I can watch this part over and over again ğŸ˜ğŸ’• #CountryStrong #Travis #cutie #cancer #favorite,1
500,twitpicfbapp:photo,1
501,9 months later. One Election later. Have you forgotten? I haven&#39;t... #TrayvonMartin,1
502,Raised $150 for prostate cancer and got a ton of tabs for Ronald McDonald!,1
503,@kylegibbons @jelluhfish aids. X,0
504,@cancersurvivor1999 survived her first Lakeside/Partridge #BlackFriday!,1
505,#DecemberWish #Turban hello!!!,1
506,Love is my religion.,1
507,Equality breakfast! #gay #gayboy #gayboys #gayguys #gaylove #gayrights #gaymarriage #kissgay #freelove #freedom #lgbt,1
508,farafesh,1
509,I heard there&#39;s a gas problem in NYC. #sandy #ny #nyc,1
510,twitpicfbapp:photo,1
511,LLS Call me Sandy Little Cheeks !!,0
512,Next year breast cancer helmets ewwww,1
513,I&#39;d love another little adventure #Rome #Newyork,1
514,"Ghost corner. Cairo, Illinois.",1
515,Good bonding weekend with daddy ğŸ’•â›³ #BlackFriday #shopping #golf,1
516,Sign outside of the #abortion clinic today #oxymoronic,1
517,#Mexes #Chilena #Francia #Italia #Venezuela #UCL #ChampionsLeague #Calcio #Futbol #ACMilan #Golazo #Gol #ForzaMilan #Rossonero,1
518,twitpicfbapp:photo,1
519,"Ok, so the #Barberton #police pulled this old lady over in the parking lot of #KMart . Then a police #SUV &amp; another crusier comes &amp; blocks her in like she has #drugs or #guns! Then, they ler her go without a #ticket. #taxdollarsatwork",1
520,This Actually Made My Heart  Smile... â¤ğŸ˜ğŸ˜ğŸ’‹ğŸ‘ŠğŸ˜­ @kinggoldchains @tyga @kingcairo #SoSweet #Tyga #Cairo #King #Studio #Family #Love #Baby #LastKings #Kingin #HardWork #Small #Happy,1
521,"Ladies and gentlemen, your First Lady. #firstlady #obama #michelleobama #merica #usa",0
522,twitpicfbapp:photo,0
523,This is what he said he wanted to #read tonight. #AudacityOfHope #Obama #BarackObama #ProudDad,1
524,It&#39;s #FashionablyDelicious #oakville #cancer #fundraiser,1
525,Thank you to all the fans for their donations at yesterday&#39;s food drive to benefit those affected by #HurricaneSandy #UConnCountry #BleedBlue,1
526,"Dixie gurdwara in my textbook,world religion class ;) #uoft",1
527,#DecemberWish,1
528,"Red, White, and Blue Christmas Tree in honor of the re-election of President Barack Obama.",1
529,One of the chic holiday windows @tiffanyandco. #newyork #christmas,1
530,#championsleague #official #sticker #album #soccer #panini #sports,1
531,World AIDS Day is 12/1... Or 11/29 at CCC! #worldAIDSday #makeadifference,1
532,For the collection #hellokitty #newyork #shotglass,1
533,twitpicfbapp:photo,1
534,Teenage Cancer Trust 2nd year with @professorgreen,1
535,twitpicfbapp:photo,1
536,#Tahrir square #Today #27November2012 #protest #revolution #Tahrir #Square #Cairo #Egypt #tahrirsquare #brutal #police #force #teargas #gas,0
537,Tyrequek Zimmerman has gotten really big in the last week.,1
538,twitpicfbapp:photo,1
539,empty,1
540,#Obama #4MoreYears #Forward #USA ğŸ‡ºğŸ‡¸,1
541,And these bitches be lettin em.. #repost @dat_nigga_mase #Magic #Johnson #HIV #Aids #OhBabyiLikeItRaw,0
542,NAO Ã‰ MOLE NAO DIRETORIA E O CANCER DO VERDAO â™ª,1
543,I might just fall asleep waiting for this game lol #nfl #nyg #gmen #football #sunday #funday,1
544,"my little man rocking Burberry, True Religion and Olympics. ğŸ˜ğŸ˜Š sho cute.",1
545,Bizarre peeps at bizarre filming With Andrew Zimmerman @tonyarabeln &amp; @swimdrew,1
546,LAST WEEK OF MOVEMBER!! Donate to my anti-cancer Moo-Stash at mo-bro.co/AustinB . Thank you all for your generous donations. :(|- &lt;----My face right now,0
547,#tbt Halloween #weathermen #hurricaneSandy,1
548,"Rocking my 99 problems, but mitt ain&#39;t 1 tee: ) #Obama",1
549,"Enda, we need to talk about abortion...... Galway #savita protest",0
550,Party hard f*ck the police #party,0
551,They caught us discussing our election predictions. LOL,1
552,Por los niÃ±os con cancer!â¤ğŸ™ˆ @karemcitac @pabloacap,1
553,twitpicfbapp:photo,1
554,Mr.305 @Pitbull :),1
555,@movember Day 16 #movember #cancer sucks,1
556,In full swing at the Colchester Art centre. The Robin Cancer Trust gig.,1
557,#DecemberWish Less stress. Less pain. Less problems. Less tears. More happiness. More laugh. More love...:),1
558,Two weeks after the election and the Longview student paper is ON IT.,1
559,twitpicfbapp:photo,1
560,twitpicfbapp:photo,1
561,#architecture #postsandy #hurricanesandy #nj,0
562,Lsb love! #lsb #girllovegirl #gay #gayboy  #gayguys #gaylove #gayrights #gaymarriage #freedom #freelove #love #lgbt,1
563,OBOMBS 4 OBAMA #round10,1
564,"This how you know this girl was never pregnant OR have an abortion. No one describes an abortion as &#34;decent&#34;. Not to mention you scheduled the &#34;abortion&#34; mon, had the consultation tues, and the procedure wed? Where dey do that at?  #GTFOH #TheThirst",0
565,@mike_guerin casually walking out with an open box TV #blackfriday,1
566,twitpicfbapp:photo,1
567,#Hryda #onmyPboishit #thuglifer #Blackfriday #imblackeveryday #blacksheep #backonmyfeet #stillupstillaintwent2sleep #Jumma #prayerday #Rip #V12BmR,0
568,"Souls up, spirit is back, back to the good old days #tahrir #egypt #cairo #travel",0
569,The day I realized I was growing up #MemoriesIWontForget #Graduation2011 @unibocconi,1
570,GEORGE ZIMMERMAN REALLY?!?! I HOPE THEY LOCK U UP FOR LIFE!!! ğŸ”’ğŸ”’ğŸ”’ #JUSTICE,0
571,Spending &#34;QT&#34; with the Boo watching some football #nfl #cfl #football #qualitytime #putaringonit ğŸ˜ğŸˆğŸ‘‰ğŸ’ğŸ’ğŸ˜‰,1
572,#kaka #thebest #bernabeu #championsleague #realmadrid,1
573,"Best election day look: my great aunt Doad, soon to be 100, voted Obama in her blue parka",1
574,@justinbieber and I just casually chillen with Obama.,1
575,I have the best grandmother ever!! Thanks Bibi!! #BlackFriday #Love #Amazing,1
576,El sÃ¡bado en la noche con @alexsensation1 @alexsensation un buen rose nos dimos por #NewYork #ColombiaEnLaCasa,1
577,The Abortion,0
578,The best night ever :D,1
579,ğŸ˜ğŸ˜ I&#39;m in love ğŸ˜Œâ¤ #2013 #Audi #S5 #AGT #Black #FutureCar,1
580,twitpicfbapp:photo,1
581,#tree #snow #ig #igers #instagram #fallentree #hurricanesandy #sandy #winter #autumn #seasons #jj #photooftheday #likeforlike #picoftheday #leaves #cold,0
582,#cristians #muslims #religion #church #mosk #extremist #terrorist #911 #wtc #binladen #osama #osamabinladen #alqaeda #alqaida #al-kaida #mudjahedin #taliban #revolution #ignorence #nonesense,1
583,"I look up &#39;One Direction&#39; on playlist.com and I see this. Congrats One Direction, you&#39;re so hot that you have diagnosed us Directioners with Ovarian Cancer.",0
584,An African Election,1
585,Amen To That! @spawnio20 #City #CL #ChampionsLeague,0
586,#breast #cancer #awareness #soccer #game #vsyulee #november27th #bethere #shootout #prizes #530 #720 #wearpink,1
587,Fazer o que agt nÃ£o escolhe,1
588,Hahahaha good joke #fantasy #abortion #flop #nfl #fantasyfootball,1
589,#Decemberwish #december #ig #igers #igdaily #photodaily #mymonth #hashtags #nofilter #tweegram #instagood #instagram #instamood #instalikes #instaphoto #instafamous #instafollow #followforfollow #likesforlikes #f4f #l4l #10likes #smile #happy,1
590,â€¢&lt;3~PARIS SAINT-GERMAIN~&lt;3â€¢ !! #PSG #PSGPORTO #C1 #Championsleague #Win #Paris,1
591,Put your hands up in the air.  Put your hands up! In the air #budha #religion #incense #techno #song #memories,1
592,Can&#39;t wait for Wednesday night #celtic #champions #championsleague,1
593,Me and my boo tabby at the club lastnight #iguana #newyork #manhattan #chocolate #sexy,1
594,#decemberwish meet this Oppa ğŸ˜‰ğŸ˜š,1
595,Tahrir square AGAIN #egypt #tahrir #cairo #revolution #ihatemuslimbrotherhood #freedom #freeegypt #instagram #instalife,0
596,#memoriesIwontforget,1
597,Finally! My Pro-Same Sex Marriage Shirt is Here! FCKH8.COM #gaymarriage #equality #fckh8 #gay #lesbian #LGBT I don&#39;t love because of what you are it&#39;s because of who you are.,1
598,#New #Zimmerman *Dj Clue voice* ... they say this what the lil homie #Trayvon did b4 he got clipped BUT that still dont change the fact this clown chased Trayvon down w/ the toast when cops on the phone told him STOP so ... GUILTY !,0
599,empty,1
600,twitpicfbapp:photo,1
601,Obama!! #Aughhhhh @Kingcairo,0
602,twitpicfbapp:photo,0
